,index,local_e,adsorbate_e,slab_e,effective_coord,center_coord,sites,band_gap,formation_eng,density,space_group_no,Miller_index,Sum_atomic_adsorbate,num_adsorbates,mean_atomic_bulk,Eads
4,1835047,1.6911534525287768,2.465,1.75,0.0,0.0,0.0,0.0,-0.9288918700000012,17.76185260757469,51.0,110.0,18.0,6.0,74.5,-2.299961710000048
7,1048631,1.2067142710440577,2.6133333333333333,1.3025,0.0,0.0,0.0,0.0,-0.1252745414295955,3.4546670075884487,225.0,100.0,10.0,3.0,24.0,-0.2680490900000052
8,1572920,1.933390803743515,2.465,1.94,0.0,0.0,0.0,0.0,-0.3875935949999984,6.628146153916723,225.0,100.0,18.0,6.0,50.5,-1.6389039099999962
18,917599,1.903876623631811,2.27,1.935,0.0,0.0,0.0,0.0,-0.1558268374999984,11.481757903781082,59.0,10.0,10.0,5.0,42.0,-2.8088786099999936
29,524452,2.3152435517145165,2.8200000000000003,2.476923076923077,3.0,1.0,1.0,1.3772000000000002,-0.612578144375,4.671623566642753,33.0,210.0,9.0,2.0,21.0,0.8551617699998815
36,2097360,1.891175083402274,3.44,1.922,6.0,2.0,2.0,0.1391000000000009,-0.234528309999997,9.123837391577284,8.0,219.0,8.0,1.0,53.0,0.3875115700000151
45,2228469,2.559730646344389,2.8200000000000003,2.568421052631579,0.0,0.0,0.0,2.8065,0.0032193965277787,1.662827631556635,62.0,102.0,9.0,2.0,13.333333015441896,1.4332690500000351
48,1835259,1.99678867980438,2.5975,2.013333333333333,3.0,1.0,1.0,0.0,-0.2641651193809523,3.9397606176562094,15.0,110.0,16.0,4.0,16.799999237060547,-0.1376556899999741
74,1180007,1.96031590735554,2.465,2.005185185185185,0.0,0.0,0.0,0.0,-1.2118051340029763,5.803460890172695,12.0,119.0,18.0,6.0,34.0,-1.7628250500000036
88,1835437,1.9550611598158416,2.8200000000000003,1.9644444444444444,0.0,0.0,0.0,1.2801,-0.401440061249998,5.217211223276743,115.0,212.0,9.0,2.0,36.5,0.9030308000000103
150,1966817,1.7759504497592278,2.518,1.7799999999999998,0.0,0.0,0.0,0.0,-0.121995866875002,6.203104115471116,140.0,100.0,17.0,5.0,20.25,-2.2985505899999907
153,525041,2.100000000000001,2.2,2.1,0.0,0.0,0.0,0.0,0.0540954533333355,6.802912272045447,166.0,111.0,1.0,1.0,52.0,0.8825225500000045
154,393969,1.2741053061224632,2.6133333333333333,1.3426315789473684,3.0,1.0,1.0,0.0,-0.2547545818749981,3.6636264464829456,140.0,111.0,10.0,3.0,30.125,-0.5604738199999986
156,1704709,2.4162863346705894,2.5975,2.434285714285714,0.0,0.0,0.0,0.0,-0.2982657663749989,2.0948578119648875,11.0,122.0,16.0,4.0,15.600000381469728,0.2155706400000099
159,1966857,1.3577579841766136,2.27,1.45,0.0,0.0,0.0,0.0,-0.282561930833334,5.510060029199977,119.0,211.0,10.0,5.0,50.5,-2.533933360000006
169,656207,1.9872293664828529,2.2,1.988846153846154,3.0,1.0,1.0,0.0,-0.0322597249999982,7.442603141210368,1.0,210.0,1.0,1.0,48.66666793823242,1.4776914999999915
187,656307,1.6920149403669904,2.6133333333333333,1.697,3.0,1.0,1.0,0.0,-0.3549679925000006,5.147889414826838,139.0,201.0,10.0,3.0,20.5,-0.9662571599999978
208,1049621,2.0999999999999983,2.316666666666667,2.1,2.0,1.0,1.0,0.0,0.0491356783333323,6.352085390179579,26.0,110.0,8.0,3.0,52.0,-0.0365834899999839
216,656435,1.9777765293379337,2.6133333333333333,2.04,8.0,1.0,1.0,0.0,-0.4759077408333318,12.071032950993596,129.0,112.0,10.0,3.0,50.5,-0.8223698200000058
221,2360404,1.6498524525719285,2.465,1.66,0.0,0.0,0.0,0.0,-0.3190544662500016,6.106363106928641,63.0,122.0,18.0,6.0,29.0,-1.645490240000015
223,918619,2.131204473533224,2.6133333333333333,2.1333333333333333,0.0,0.0,0.0,0.0,-0.107202958124998,13.24051544796285,194.0,210.0,10.0,3.0,54.5,-0.1460642099999631
230,656524,2.183985401386882,2.5975,2.184,1.0,1.0,1.0,0.0267999999999997,-0.5082684787499971,8.96076155988533,204.0,210.0,16.0,4.0,44.0,0.4154269000000568
242,1180864,1.5720308553187603,2.518,1.7,0.0,0.0,0.0,0.0,-0.6513960159999996,8.37845226956125,129.0,101.0,17.0,5.0,44.400001525878906,-0.6542285799999945
251,1574116,1.6626740664908468,2.518,1.6952380952380952,0.0,0.0,0.0,0.0,-0.6666346156060576,6.548175877640677,55.0,110.0,17.0,5.0,35.54545593261719,-1.0355774499999484
260,1836327,1.7030044119217185,2.8200000000000003,1.926,6.0,2.0,2.0,0.0,-1.0252003354187198,3.361536026831592,63.0,100.0,9.0,2.0,15.142857551574709,-1.1490834699999937
261,2098472,2.100136957660789,2.2875,2.1506666666666665,7.0,1.0,1.0,0.0,-0.8680477954545438,4.282994203017067,163.0,100.0,9.0,4.0,19.636363983154297,-1.545371709999927
278,1312115,1.8099837584570624,2.316666666666667,1.83125,4.0,1.0,1.0,0.0,-0.8123409159999995,6.1383003841829415,164.0,210.0,8.0,3.0,26.200000762939453,-1.281239390000053
308,1574434,1.70657290867557,2.316666666666667,1.7495454545454547,7.5,2.0,2.0,0.0,-0.9420143643055732,9.984017049325749,38.0,122.0,8.0,3.0,43.33333206176758,-1.9716381700000056
321,1050231,2.3076691654511023,2.5975,2.322857142857143,0.0,0.0,0.0,0.3769,-0.689239791406252,7.164344933185313,166.0,211.0,16.0,4.0,53.59999847412109,0.2466720799999961
322,1967736,1.9288695123214807,2.2875,1.975,3.0,1.0,1.0,0.0,-0.6501637566666668,12.634257635335716,65.0,110.0,9.0,4.0,50.33333206176758,-1.8373725699999568
324,1836668,1.9080420388446488,2.6133333333333333,2.024736842105263,7.0,1.0,1.0,1.2348,-2.166439971875,4.369810181942889,62.0,111.0,10.0,3.0,24.75,-0.7019914599999311
331,788136,1.306703971763994,2.518,1.4117241379310346,0.0,0.0,0.0,0.8472,-0.6638637349999996,2.825843373926701,72.0,221.0,17.0,5.0,18.66666603088379,-1.206838619999985
335,2361019,2.161940438968213,2.465,2.1644444444444444,0.0,0.0,0.0,0.6236000000000002,-0.1628431155555492,5.726059748279559,156.0,212.0,18.0,6.0,55.77777862548828,-0.1434816100000375
348,1181420,1.7578885977433325,3.44,1.863684210526316,2.0,2.0,2.0,1.6551,-0.5431645806862728,2.858431150710389,14.0,119.0,8.0,1.0,19.058822631835938,0.3023086499999863
355,2098968,0.93,2.27,0.93,0.0,0.0,0.0,0.0,-0.1758322733333332,3.0487660926775297,20.0,110.0,10.0,5.0,23.66666603088379,-2.8048786300000046
390,2361265,1.8094978462946765,2.27,1.825,0.0,0.0,0.0,0.0,-0.6617507237500018,7.208416972213532,225.0,210.0,10.0,5.0,24.25,-2.7104086000000507
394,2361284,1.237589402784924,2.2875,1.4333333333333331,3.0,1.0,1.0,2.4134,-1.2770575092708352,3.440432631947764,129.0,110.0,9.0,4.0,27.33333396911621,-0.7150502500000187
397,1312708,1.42765542061101,2.518,1.685,3.0,1.0,1.0,2.0948,-1.1315585434374995,4.06293933572594,194.0,100.0,17.0,5.0,42.0,-2.1107930400000186
406,2230254,2.2792136811899115,2.5975,2.3114285714285714,3.0,1.0,1.0,1.0255999999999998,-0.6912206001388933,8.529811596182535,164.0,221.0,16.0,4.0,47.5,0.2361569099999769
413,1968142,1.828292298293446,2.55,1.8675,12.666666666666666,3.0,3.0,0.0,-0.6583386146874988,6.1227521725416425,121.0,1.0,6.0,1.0,21.25,0.4359775699999773
426,1312855,2.4029975279972384,2.5975,2.412,0.0,0.0,0.0,0.0,-0.7734104646875011,5.6932190845009245,11.0,109.0,16.0,4.0,26.39999961853028,0.4406011300000045
436,657541,2.2311077524248777,2.5975,2.232,0.0,0.0,0.0,0.0,0.0069308079999984,13.4139718167668,166.0,98.0,16.0,4.0,51.59999847412109,-0.1914937200000395
438,526486,1.8341556449300869,2.6133333333333333,1.8375,0.0,0.0,0.0,0.0,-0.0328878799999993,8.78499533884352,164.0,102.0,10.0,3.0,29.33333396911621,-0.023748089999998
449,1444082,2.447065018482205,2.316666666666667,2.68,2.0,2.0,2.0,5.3533,-2.6454319783333333,2.147056170739013,136.0,112.0,8.0,3.0,18.0,0.6948796299999884
477,1313108,1.568146351135636,2.316666666666667,1.6133333333333335,5.5,2.0,2.0,0.0,-1.136777426250002,6.726416529571339,194.0,111.0,8.0,3.0,36.5,-1.876886090000028
503,1051104,1.8079879557764,2.5975,1.8333333333333333,3.0,1.0,1.0,0.0,-0.9896899633333286,8.06122201951167,225.0,100.0,16.0,4.0,34.66666793823242,-1.3358183499999825
507,657912,1.7609088562444108,2.8200000000000003,1.82,6.0,1.0,1.0,0.0,-0.9033033505555575,10.094533518710916,189.0,100.0,9.0,2.0,49.33333206176758,-0.0221534100001008
516,789019,2.313854821775527,2.8200000000000003,2.33,1.0,1.0,1.0,1.0432,-0.2369207132812505,8.307718381660244,154.0,192.0,9.0,2.0,57.0,2.0232672299999948
517,1706523,1.0889186458079323,2.518,1.2525,0.0,0.0,0.0,1.7264,-1.0967131060885449,3.352230530930631,2.0,10.0,17.0,5.0,28.66666603088379,-1.097809170000005
521,2492959,1.915933192989776,2.316666666666667,1.945,0.0,0.0,0.0,0.0,-0.9896899633333286,8.06122201951167,225.0,111.0,8.0,3.0,34.66666793823242,-0.8912423200000035
548,1182400,1.0860670370512304,2.2875,1.148,0.0,0.0,0.0,0.0,-0.3673341297844823,3.7586435858497182,194.0,212.0,9.0,4.0,29.0,-1.89423918
556,2493190,1.6763578504626857,2.6133333333333333,1.6833333333333331,0.0,0.0,0.0,0.0,-0.3358375341666662,6.275869888405448,225.0,111.0,10.0,3.0,23.25,-0.0594481999999914
557,1968933,1.917532100063559,2.55,1.9275,5.0,1.0,1.0,0.0,-0.4248304237500004,7.47802425986908,136.0,211.0,6.0,1.0,34.5,0.636751610000033
568,2231121,2.2620391703095555,3.44,2.293333333333333,1.0,1.0,1.0,1.0804000000000005,-0.6455260882812475,5.633458363099015,12.0,199.0,8.0,1.0,41.5,2.254007889999997
573,1444708,2.1723012107319914,2.8200000000000003,2.2333333333333334,3.0,1.0,1.0,0.0,-1.5866420444444431,3.153337294684891,227.0,100.0,9.0,2.0,18.0,-0.3304668299999775
575,527207,1.1290158885961197,2.5975,1.2025,0.0,0.0,0.0,0.0,-0.3673341297844823,3.7586435858497182,194.0,212.0,16.0,4.0,29.0,1.3417948799999948
584,789404,0.9299999999999994,2.6133333333333333,0.93,1.0,1.0,1.0,0.0,0.0,1.0334941644746494,194.0,101.0,10.0,3.0,11.0,-0.2868249499999962
587,2100148,1.9453679869079623,2.465,1.9557142857142853,0.0,0.0,0.0,0.4546000000000001,-0.3582735989880952,4.705583122405697,216.0,221.0,18.0,6.0,32.0,-1.4663639000000046
591,527295,1.810624175187512,2.518,1.8671428571428568,0.0,0.0,0.0,0.0,-0.3221865541666666,8.530734466059133,191.0,111.0,17.0,5.0,45.16666793823242,-1.4338934399999914
619,1313848,1.834155644930085,2.5975,1.8375,0.0,0.0,0.0,0.0,-0.0214271649999995,8.910634444572121,187.0,101.0,16.0,4.0,29.25,0.2557121300000062
640,1182850,2.095075384189982,2.8200000000000003,2.1,0.0,0.0,0.0,0.0,-0.0509250350000023,11.189575369032706,139.0,101.0,9.0,2.0,41.75,1.0493144100000222
642,1182865,2.14138613654524,2.518,2.145,0.0,0.0,0.0,0.8049,-0.370041921214284,4.142491451453413,15.0,100.0,17.0,5.0,17.200000762939453,-1.3729914299999564
651,1182904,2.1,2.6133333333333333,2.1,0.0,0.0,0.0,0.0,-0.8232634687500031,6.334494537292908,11.0,101.0,10.0,3.0,49.0,0.6323363200000074
654,527553,1.6223570076586158,2.518,1.6225,0.0,0.0,0.0,0.0,-0.156632639999998,3.8038661764616606,139.0,110.0,17.0,5.0,15.75,-0.921935229999974
683,1183088,1.7903274579026678,2.2875,1.815,7.0,1.0,1.0,0.0,-0.6564465847916665,10.77742100732776,225.0,110.0,9.0,4.0,41.0,-2.444298919999937
701,396745,1.878656057988726,2.465,1.8792307692307693,0.0,0.0,0.0,0.0,-0.3757777659090907,8.791707566625854,12.0,111.0,18.0,6.0,29.227272033691406,-1.3484116000000768
730,1314386,1.8210839720232808,2.8200000000000003,1.8211111111111111,7.0,1.0,1.0,0.0,-0.1462183152272716,7.829618294127698,12.0,110.0,9.0,2.0,28.2727279663086,-0.0427490199999738
733,1314397,1.694817157315896,2.8200000000000003,1.7424561403508771,2.0,1.0,1.0,0.0,-0.3400375668939442,8.041178883854124,55.0,212.0,9.0,2.0,47.272727966308594,0.2619403799999418
743,1314463,1.662717205780651,2.5975,1.84,6.0,1.0,1.0,0.0,-0.8282316014285739,9.246370262074027,148.0,100.0,16.0,4.0,53.71428680419922,0.0663539900000387
766,2363174,1.1290158885961197,2.5975,1.2025,0.0,0.0,0.0,0.0,-0.3673341297844823,3.7586435858497182,194.0,212.0,16.0,4.0,29.0,0.8298100200000107
791,921538,1.63792827634199,2.2,1.7333333333333332,7.0,1.0,1.0,0.0,-0.7341439337500013,8.000930194364662,71.0,211.0,1.0,1.0,40.5,0.1411372799999526
806,1576960,1.596781679731415,2.6133333333333333,1.6,9.0,1.0,1.0,0.0,-0.120116481666666,5.877831742691308,139.0,100.0,10.0,3.0,28.75,-0.3161762199999884
807,659457,2.085834671850942,2.5975,2.2375,0.0,0.0,0.0,0.0,-1.9051272447916665,6.317892214623327,166.0,98.0,16.0,4.0,19.0,-1.2214544099999785
808,1839110,2.2920924895174783,2.6133333333333333,2.292857142857143,0.0,0.0,0.0,0.0,-0.2079951900000007,12.164739082784791,140.0,211.0,10.0,3.0,70.0,0.0740100099999949
809,659476,1.9629185778198093,2.518,1.9666666666666663,0.0,0.0,0.0,0.8982000000000001,0.0289045415625004,1.9038161302073484,164.0,111.0,17.0,5.0,10.75,-2.258361499999978
821,1183826,1.6217844737921836,2.5975,1.6225,0.0,0.0,0.0,0.0,-0.2001477583333302,6.934757263983796,221.0,110.0,16.0,4.0,28.0,-0.7592913200000169
832,1708158,1.654054267563142,2.6133333333333333,1.7985714285714285,1.0,1.0,1.0,0.7095000000000002,-0.5499503902857128,1.9816227559138249,69.0,111.0,10.0,3.0,16.600000381469727,-0.3765801000000124
834,1839241,1.807423094668788,2.518,1.84375,6.5,2.0,2.0,0.0,-0.6583386146874988,6.1227521725416425,121.0,212.0,17.0,5.0,21.25,-1.7942138000000796
837,659623,2.158619659924775,2.5975,2.1766666666666667,2.0,1.0,1.0,0.5262000000000002,-0.5982870760185198,6.622904931039951,12.0,1.0,16.0,4.0,41.77777862548828,0.7440658300000109
841,1315024,1.496135129361721,2.8200000000000003,1.578125,4.5,2.0,2.0,0.0,-0.6379041266666677,5.856350444391472,62.0,212.0,9.0,2.0,32.0,-1.4106826999999953
850,1839356,1.621784473792179,3.44,1.6225,7.0,2.0,2.0,0.0,-0.2001477583333302,6.934757263983796,221.0,100.0,8.0,1.0,28.0,-1.8782381100000125
880,1053047,1.6104826757349495,2.6133333333333333,1.615,9.0,1.0,1.0,0.0,-0.3384483286494273,6.002932896432338,225.0,211.0,10.0,3.0,23.75,-1.4847824000000287
881,1970567,1.8531649779653687,2.6133333333333333,1.87,0.0,0.0,0.0,0.0,-0.3436161775000004,11.984645569426364,225.0,210.0,10.0,3.0,41.75,-0.0928952200000026
882,1708430,1.8318997400757389,2.518,1.9588235294117649,8.0,1.0,1.0,1.1482,-1.7370502094444429,5.529453917317042,62.0,101.0,17.0,5.0,36.22222137451172,-0.078620839999985
897,1839622,1.3177841885379111,2.27,1.41,0.0,0.0,0.0,0.5318,-0.1158403767995688,2.5223109623621154,11.0,208.0,10.0,5.0,18.75,-2.5761591799999906
899,922156,1.6195895256570096,2.5975,1.64,6.0,1.0,1.0,0.0,-0.5224845400000007,7.270778164452664,221.0,221.0,16.0,4.0,46.5,-1.28733643999999
914,1184392,1.3088878266078576,2.465,1.384,0.0,0.0,0.0,0.0,-0.6481111449999988,4.331488072733748,63.0,111.0,18.0,6.0,35.0,-2.3288012800000217
927,1053366,2.126072685644718,2.27,2.1466666666666665,0.0,0.0,0.0,0.6242999999999999,-0.0607200337152752,6.338404497074927,1.0,108.0,10.0,5.0,36.66666793823242,-2.306575500000008
964,2233172,2.1859808334888,2.6133333333333333,2.186,0.0,0.0,0.0,0.6646999999999998,-0.3038927850000021,11.02793169102378,58.0,122.0,10.0,3.0,47.33333206176758,0.0913481100000126
980,529291,2.3681170196835373,2.2,2.37625,3.0,1.0,1.0,1.2161,-0.0757348896041818,3.653380137617407,14.0,10.0,1.0,1.0,26.39999961853028,0.6869006100000092
1003,1184792,1.4697794149937131,2.518,1.54,0.0,0.0,0.0,0.0,-0.3979667616666671,2.6090583578201296,141.0,101.0,17.0,5.0,16.0,-2.0142141400000355
1011,2495538,1.6940716223161212,2.8200000000000003,1.71,9.0,2.0,2.0,0.0,-0.4325562700000027,6.1570440280538365,223.0,110.0,9.0,2.0,29.25,-1.911920599999973
1018,1709130,2.2008710924901496,2.2875,2.23,1.0,1.0,1.0,2.5289,-0.8864955742857126,4.543563902982043,126.0,101.0,9.0,4.0,29.85714340209961,-0.6960079899999982
1039,2233527,1.635735166680619,2.8200000000000003,1.7066666666666666,0.0,0.0,0.0,0.0,-0.659990643333332,8.6331867033057,63.0,122.0,9.0,2.0,53.5,0.5135300700000016
1043,398530,1.8838789770046271,2.27,1.895,0.0,0.0,0.0,0.5846000000000002,-0.5607400050000031,5.636239502916919,216.0,210.0,10.0,5.0,50.0,-1.2899067700000018
1047,2364614,1.57461106308828,2.8200000000000003,1.5750000000000002,5.0,2.0,2.0,0.0,-0.4338896316666663,3.420287434298525,139.0,1.0,9.0,2.0,15.25,-1.0016300099999853
1057,1709301,1.7476114262794633,2.6133333333333333,1.7527272727272727,5.0,1.0,1.0,0.0,-0.5575320254545463,5.232372721613457,72.0,101.0,10.0,3.0,18.90909004211425,0.4048295999999709
1063,1185034,2.03070634302363,2.27,2.0636,0.0,0.0,0.0,0.9032999999999998,-0.2843251534722224,7.123522400354351,60.0,211.0,10.0,5.0,42.33333206176758,-1.6276359299999967
1088,1316188,1.5422838944910156,2.8200000000000003,1.5575,5.0,1.0,1.0,0.0,-0.430600775000002,4.553274194311358,38.0,102.0,9.0,2.0,21.0,0.3113173700000402
1089,2233694,0.9300000000000008,2.55,0.93,3.0,2.0,2.0,0.0,-0.0145393060344827,2.548768662974465,194.0,100.0,6.0,1.0,20.25,2.73475526
1090,1709406,1.8519834082655648,2.518,1.8525,0.0,0.0,0.0,0.0,-0.2916881302380947,8.766468060930872,123.0,212.0,17.0,5.0,29.25,-1.530667440000002
1132,2233905,1.2727922061357866,2.2875,1.31,0.0,0.0,0.0,0.0,-0.5126512600000019,7.028224838917514,221.0,110.0,9.0,4.0,50.5,-1.9053687100000047
1150,5787,1.395324050310619,2.2875,1.526842105263158,2.0,1.0,1.0,0.8684000000000003,-0.4998631196130949,2.1285356236209987,19.0,211.0,9.0,4.0,13.0,-1.988538290000008
1155,1578680,1.9741344685710207,2.465,1.993,0.0,0.0,0.0,0.0,-0.8239056268750016,7.799141661190932,146.0,211.0,18.0,6.0,29.625,-1.6396976600000244
1169,2103012,2.1873480682631765,2.518,2.2175,0.0,0.0,0.0,0.7056000000000004,-0.6983747601562484,4.4131581525774095,122.0,211.0,17.0,5.0,23.0,0.2906369000000097
1172,1840873,2.063249863685924,2.27,2.115,0.0,0.0,0.0,2.0338,-0.9616786720312512,4.1416522456126605,186.0,212.0,10.0,5.0,23.0,-1.872902780000004
1173,1578732,1.8733864784331369,2.518,1.9075,0.0,0.0,0.0,0.0,-0.8232634687500031,6.334494537292908,11.0,12.0,17.0,5.0,49.0,-1.0486782300000073
1190,1054507,1.7674914539401785,2.8200000000000003,1.8722222222222225,0.0,0.0,0.0,4.7789,-0.2988906120833334,2.3525357815825068,62.0,221.0,9.0,2.0,12.0,1.5841786400000617
1191,2365236,1.603649807025818,2.27,1.604,0.0,0.0,0.0,0.0,-0.3438839679166676,4.15474648395369,123.0,111.0,10.0,5.0,17.75,-2.8124012700000094
1210,2234250,1.881013189831402,2.316666666666667,1.9,9.666666666666666,3.0,3.0,0.0,-0.8531889888888915,10.333065738248369,46.0,121.0,8.0,3.0,37.33333206176758,-1.399775120000072
1217,1578931,1.8774613927436432,2.5975,2.0318181818181817,1.0,1.0,1.0,2.0504,-1.6842971299999985,3.5096037782877274,11.0,121.0,16.0,4.0,24.571428298950195,-0.0431480199999896
1235,1316849,1.8727174239744744,2.5975,1.9062857142857144,0.0,0.0,0.0,0.8979000000000004,-0.585864777058823,5.120056118973085,5.0,102.0,16.0,4.0,42.70588302612305,0.8240695000000073
1242,530446,1.8100000000000007,3.44,1.81,1.0,1.0,1.0,0.0,0.1279892599999996,6.5343258182491,139.0,101.0,8.0,1.0,31.0,0.1499165000000033
1261,6279,1.5558920271021357,2.8200000000000003,1.57,8.0,2.0,2.0,0.0,-0.550791122499998,5.934453238829552,123.0,1.0,9.0,2.0,35.0,-2.243571580000008
1271,2103474,1.8100000000000032,2.5975,1.81,2.0,1.0,1.0,0.0,0.0113091824999997,5.809426603818376,63.0,201.0,16.0,4.0,31.0,0.0125874000000294
1284,1317090,2.180000000000001,2.6133333333333333,2.18,0.0,0.0,0.0,0.2238000000000002,-0.4408126312500009,5.280739317994743,186.0,101.0,10.0,3.0,32.0,-0.082057490000011
1295,1579337,1.5797069553827172,2.5975,1.612,9.5,2.0,2.0,0.0,-0.5333423549999957,11.824383434388194,193.0,212.0,16.0,4.0,60.11111068725586,-1.8118703300000327
